superstar,stock,client,market,type,action type,Date,avg,count,change
HDFC Group,"Fusion Micro Finance Ltd.

Insider Trades",HDFC MUTUAL FUND,BSE,Block,Purchase,12/14/2023,555.6,3129172,0.031
HDFC Group,"Fusion Micro Finance Ltd.

Insider Trades",HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,12/14/2023,555.6,388000,0.0038
HDFC Group,Delta Corp Ltd.,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,12/11/2023,135.95,3000000,0.0112
HDFC Group,Delta Corp Ltd.,HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,12/11/2023,135.95,3000000,0.0112
HDFC Group,"Jagran Prakashan Ltd.

High Gain High Volume",HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,12/11/2023,95.55,3200000,0.0147
HDFC Group,"Jagran Prakashan Ltd.

High Gain High Volume",HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,12/11/2023,95.66,3595948,0.0165
HDFC Group,"Computer Age Management Services Ltd.

Insider Trades",HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,12/4/2023,2766,45000,0.0009
HDFC Group,"Computer Age Management Services Ltd.

Insider Trades",HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,12/4/2023,2766,12000,0.0002
HDFC Group,"Zomato Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Block,Purchase,10/20/2023,111.2,899290,0.0001
HDFC Group,Aditya Vision Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,10/17/2023,2601.93,95000,0.0079
HDFC Group,Hindustan Oil Exploration Company Ltd.,HDFC BANK LTD,BSE,Bulk,Sell,9/28/2023,155.11,1365000,0.0103
HDFC Group,Hindustan Oil Exploration Company Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,9/28/2023,155.25,1100260,0.0083
HDFC Group,Aditya Vision Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,9/15/2023,2199.74,500003,0.0416
HDFC Group,KNR Constructions Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,9/11/2023,273.52,1550000,0.0055
HDFC Group,Five-Star Business Finance Ltd.,HDFC MUTUAL FUND A/C HTCL - HDFC MID - CAP OPPORTUNITIES FUND,BSE,Bulk,Purchase,9/1/2023,730,4119334,0.0141
HDFC Group,"Sula Vineyards Ltd.

Dividend",HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,2011246,0.0238
HDFC Group,"Sula Vineyards Ltd.

Dividend",HDFC MUTUAL FUND A/C HDFC LARGE AND MID CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,861962,0.0102
HDFC Group,"Sula Vineyards Ltd.

Dividend",HDFC MUTUAL FUND A/C HDFC MULTI CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,646472,0.0077
HDFC Group,Coforge Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,652402,0.0106
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,8/14/2023,55.2,1000000,0.0175
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,8/14/2023,55.2,382805,0.0067
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,8/11/2023,52.47,500000,0.0088
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,8/11/2023,52.35,481300,0.0084
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,7/18/2023,728.49,829618,0.0061
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,7/6/2023,697,1350000,0.0099
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,7/6/2023,697,1350000,0.0099
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,7/6/2023,697,675000,0.005
HDFC Group,TD Power Systems Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,6/30/2023,221,5671260,0.0363
HDFC Group,TD Power Systems Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,6/30/2023,221,5671260,0.0363
HDFC Group,Sahana System Ltd.,HDFC BANK LIMITED,NSE,Bulk,Sell,6/12/2023,171.15,44000,0.0055
HDFC Group,De Neers Tools Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,5/11/2023,184.68,60000,0.007
HDFC Group,Global Surfaces Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,3/23/2023,167.48,427290,0.0101
HDFC Group,Sona BLW Precision Forgings Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,3/13/2023,410,3658537,0.0062
HDFC Group,Safari Industries (India) Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,2/14/2023,1860,250000,0.0053
HDFC Group,Phantom Digital Effects Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,10/21/2022,300,63600,0.0047
Gagandeep Credit Capital Pvt Ltd,Bannari Amman Spinning Mills Ltd.,GAGANDEEP CREDIT CAPITAL PVT. LTD.,NSE,Bulk,Sell,1/30/2024,57.56,598362,0.0092
Gagandeep Credit Capital Pvt Ltd,Bannari Amman Spinning Mills Ltd.,GAGANDEEP CREDIT CAPITAL PVT. LTD.,NSE,Bulk,Sell,1/9/2024,50.44,546000,0.0084
Kotak Mahindra Group,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,2/14/2024,584,2250000,0.001
Kotak Mahindra Group,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,2/14/2024,584,171500,0.0001
Plutus Wealth,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,2/14/2024,584,701366,0.0003
Goldman Sachs India Limited,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,2/14/2024,584,411885,0.0002
Abu Dhabi Investment Authority,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",ABU DHABI INVESTMENT AUTHORITY,BSE,Block,Purchase,2/14/2024,584,700000,0.0003
ICICI Group,Indiabulls Housing Finance Ltd.,ICICI PRUDENTIAL MUTUAL FUND A/C EQUITY - ARBITRAGE FUND,NSE,Bulk,Sell,12/28/2023,218.74,2534700,0.0044
ICICI Group,Ami Organics Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,12/21/2023,1030,500000,0.0136
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,445.35,4701405,0.0075
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,4701405,0.0075
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,1123595,0.0018
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,BSE,Block,Purchase,12/20/2023,445.35,336813,0.0005
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL LONG SHORT FUND SERIES I,BSE,Block,Purchase,12/20/2023,445.35,225000,0.0004
ICICI Group,Embassy Office Parks REIT,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL EQUITY INCOME FUND,BSE,Bulk,Purchase,12/20/2023,316,5466517,0.0058
ICICI Group,Apollo Tyres Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/19/2023,448.35,3000000,0.0047
ICICI Group,PVR INOX Ltd.,ICICI PRUDENTIAL LIFE INSURANCE (IPLCIL-U),NSE,Block,Purchase,12/15/2023,1753,114112,0.0012
ICICI Group,PB Fintech Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,12/15/2023,800.05,370000,0.0008
ICICI Group,KFIN Technologies Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,12/15/2023,500,1377842,0.0081
ICICI Group,KFIN Technologies Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,12/15/2023,500,900000,0.0053
ICICI Group,"Fusion Micro Finance Ltd.

Insider Trades",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/14/2023,555.6,500000,0.0049
ICICI Group,Axis Bank Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Block,Purchase,12/13/2023,1119.7,715000,0.0002
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCECOMPANY LTD.,NSE,Block,Purchase,12/8/2023,120.5,2480000,0.0003
ICICI Group,360 One Wam Ltd.,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL VALUE DISCOVERY FUND,NSE,Bulk,Purchase,12/4/2023,600,3500000,0.0098
ICICI Group,"Computer Age Management Services Ltd.

Insider Trades",ICICI BANK LIMITED,BSE,Block,Purchase,12/4/2023,2766,36500,0.0007
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,11/29/2023,112.7,2450000,0.0003
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,11/29/2023,112.7,2450000,0.0003
ICICI Group,Transteel Seating Technologies Ltd.,ICICI BANK LIMITED,NSE,Bulk,Sell,11/6/2023,87.43,114000,0.0056
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,10/31/2023,209,2406589,0.0074
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,10/18/2023,1080,223703,0.0073
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,10/18/2023,1080,220980,0.0072
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,10/18/2023,1080,178963,0.0059
ICICI Group,Restaurant Brands Asia Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Bulk,Purchase,9/15/2023,119.1,34000500,0.0685
ICICI Group,Restaurant Brands Asia Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Block,Purchase,9/15/2023,119.1,34000500,0.0685
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,NSE,Block,Purchase,8/28/2023,90.1,4993954,0.0006
ICICI Group,"Star Health and Allied Insurance Company Ltd.

Tax Demand",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,8/28/2023,610.2,3900000,0.0067
ICICI Group,"Star Health and Allied Insurance Company Ltd.

Tax Demand",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,8/28/2023,610.2,3900000,0.0067
ICICI Group,"One97 Communications Ltd.

RBI Decision 10-year low",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,8/25/2023,895.2,500000,0.0008
ICICI Group,Coforge Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,8/24/2023,4703,427387,0.0069
ICICI Group,SJS Enterprises Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,8/22/2023,599.93,1862274,0.06
ICICI Group,CMS Info Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,8/10/2023,356,1405000,0.009
ICICI Group,"Minda Corporation Ltd.

10-year high Insider Trades",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,8/8/2023,280,4200000,0.0176
ICICI Group,"Minda Corporation Ltd.

10-year high Insider Trades",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,8/8/2023,280,1600000,0.0067
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,8/8/2023,208,5048076,0.0155
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,8/8/2023,208,1923076,0.0059
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,8/8/2023,208,865384,0.0027
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND(INNOVATION FUND),BSE,Block,Purchase,8/8/2023,208,817308,0.0025
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,8/8/2023,208,600962,0.0018
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,8/8/2023,208,480769,0.0015
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,8/8/2023,208,144231,0.0004
Morgan Stanley Asia (Singapore) Pte.,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,2/14/2024,584,171500,0.0001
Eastspring Investments India Infrastructure Equity Open Limi,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,BSE,Block,Purchase,2/14/2024,584,171500,0.0001
Jupiter South Asia Investment Company Limited,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/18/2024,471.65,1551147,0.0007
Copthall Mauritius Investment Limited,"Bharat Petroleum Corporation Ltd.

Pilot Project 10-year high",COPTHALL MAURITIUS INVESTMENT LIMITED,BSE,Block,Purchase,2/14/2024,584,171500,0.0001
Jupiter South Asia Investment Company Limited,Bharti Airtel Ltd.,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/10/2024,1064.9,404419,0.0001
Kotak Mahindra Group,Onward Technologies Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,12/21/2023,620.75,159699,0.0071
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,12/20/2023,445.35,210698,0.0003
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,12/20/2023,445.35,14302,0
Kotak Mahindra Group,Apollo Tyres Ltd.,KOTAK MAHINDRA ASSET MANAGEMENT (SINGAPORE) PTE LTD,BSE,Block,Purchase,12/19/2023,448.35,882000,0.0014
Kotak Mahindra Group,PVR INOX Ltd.,KOTAK MAHINDRA MUTUAL FUND,NSE,Block,Purchase,12/15/2023,1753,379839,0.0039
Kotak Mahindra Group,PVR INOX Ltd.,ALPS/KOTAK INDIA GROWTH FUND,NSE,Block,Purchase,12/15/2023,1753,172992,0.0018
Kotak Mahindra Group,PVR INOX Ltd.,KOTAK FUNDS-INDIA ESG FUND,NSE,Block,Purchase,12/15/2023,1753,46164,0.0005
Kotak Mahindra Group,"Fusion Micro Finance Ltd.

Insider Trades",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,12/14/2023,555.6,712000,0.007
Kotak Mahindra Group,"Fusion Micro Finance Ltd.

Insider Trades",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,12/14/2023,555.6,712000,0.007
Kotak Mahindra Group,Mankind Pharma Ltd.,KOTAK FUNDSINDIA MIDCAP FUND,BSE,Bulk,Purchase,12/12/2023,1832.3,2029246,0.0051
Kotak Mahindra Group,"Computer Age Management Services Ltd.

Insider Trades",KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,12/4/2023,2766,488000,0.0099
Kotak Mahindra Group,"Computer Age Management Services Ltd.

Insider Trades",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,12/4/2023,2766,488000,0.0099
Kotak Mahindra Group,"Zomato Ltd.

52 week high",KOTAK MAHINDRA MATUAL FUND,BSE,Block,Purchase,11/29/2023,112.7,12000000,0.0014
Kotak Mahindra Group,"Minda Corporation Ltd.

10-year high Insider Trades",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED A/C CLASSIC OPPORTUNITIES FUND,NSE,Bulk,Purchase,11/2/2023,330.94,1378340,0.0058
Kotak Mahindra Group,PB Fintech Ltd.,KOTAK FUNDS-INDIA MIDCAP FUND,NSE,Block,Purchase,10/6/2023,762.8,1620795,0.0036
Kotak Mahindra Group,PB Fintech Ltd.,KOTAK INFINITY FUND CLASS AC,NSE,Block,Purchase,10/6/2023,762.8,14904,0
Kotak Mahindra Group,Voltamp Transformers Ltd.,KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,9/26/2023,4632,130000,0.0128
Kotak Mahindra Group,Spandana Sphoorty Financial Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED - CLASSIC OPPORTUNITIES FUND ULIF 033 16 12 09 CLAOPPF,BSE,Bulk,Purchase,8/30/2023,765,924680,0.013
