superstar,stock,client,market,type,action type,Date,avg,count,change
HDFC Group,Computer Age Management Services Ltd.,HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,45264,2766,45000,0.0009,
HDFC Group,Computer Age Management Services Ltd.,HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,45264,2766,12000,0.0002,
HDFC Group,Zomato Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,45219,111.2,899290,0.0001,
HDFC Group,Aditya Vision Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,45216,2601.93,95000,0.0079,
HDFC Group,Hindustan Oil Exploration Company Ltd.,HDFC BANK LTD,BSE,Bulk,Sell,45197,155.11,1365000,0.0103,
HDFC Group,Hindustan Oil Exploration Company Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,45197,155.25,1100260,0.0083,
HDFC Group,Aditya Vision Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,45184,2199.74,500003,0.0416,
HDFC Group,KNR Constructions Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,45180,273.52,1550000,0.0055,
HDFC Group,Five-Star Business Finance Ltd.,HDFC MUTUAL FUND A/C HTCL - HDFC MID - CAP OPPORTUNITIES FUND,BSE,Bulk,Purchase,45170,730,4119334,0.0141,
HDFC Group,"Sula Vineyards Ltd.

Dividend High Loss High Volume",HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,45169,484,2011246,0.0238,
HDFC Group,"Sula Vineyards Ltd.

Dividend High Loss High Volume",HDFC MUTUAL FUND A/C HDFC LARGE AND MID CAP FUND,NSE,Bulk,Purchase,45169,484,861962,0.0102,
HDFC Group,"Sula Vineyards Ltd.

Dividend High Loss High Volume",HDFC MUTUAL FUND A/C HDFC MULTI CAP FUND,NSE,Bulk,Purchase,45169,484,646472,0.0077,
HDFC Group,Coforge Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,45162,4703,652402,0.0106,
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,45152,55.2,1000000,0.0175,
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,45152,55.2,382805,0.0067,
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,45149,52.47,500000,0.0088,
HDFC Group,"Simplex Infrastructures Ltd.

52 week high",HDFC MUTUAL FUND,NSE,Bulk,Sell,45149,52.35,481300,0.0084,
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,45125,728.49,829618,0.0061,
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,45113,697,1350000,0.0099,
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,45113,697,1350000,0.0099,
HDFC Group,Eris Lifesciences Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,45113,697,675000,0.005,
HDFC Group,TD Power Systems Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,45107,221,5671260,0.0363,
HDFC Group,TD Power Systems Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,45107,221,5671260,0.0363,
HDFC Group,Sahana System Ltd.,HDFC BANK LIMITED,NSE,Bulk,Sell,45089,171.15,44000,0.0055,
HDFC Group,De Neers Tools Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,45057,184.68,60000,0.007,
HDFC Group,Global Surfaces Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,45008,167.48,427290,0.0101,
HDFC Group,Sona BLW Precision Forgings Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,44998,410,3658537,0.0062,
HDFC Group,Safari Industries (India) Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,44971,1860,250000,0.0053,
HDFC Group,Phantom Digital Effects Ltd.,HDFC BANK LTD,NSE,Bulk,Sell,44855,300,63600,0.0047,
ICICI Group,Mankind Pharma Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,45330,2107.35,54160,0.0001,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45308,343.5,1750000,0.0144,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45308,343.5,1120000,0.0092,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45308,343.5,875000,0.0072,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,45308,343.5,1750000,0.0144,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,45308,343.5,1120000,0.0092,
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,45308,343.5,875000,0.0072,
ICICI Group,Indiabulls Housing Finance Ltd.,ICICI PRUDENTIAL MUTUAL FUND A/C EQUITY - ARBITRAGE FUND,NSE,Bulk,Sell,45288,218.74,2534700,0.0044,
ICICI Group,Ami Organics Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45281,1030,500000,0.0136,
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45280,445.35,4701405,0.0075,
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45280,445.35,4701405,0.0075,
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45280,445.35,1123595,0.0018,
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,BSE,Block,Purchase,45280,445.35,336813,0.0005,
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL LONG SHORT FUND SERIES I,BSE,Block,Purchase,45280,445.35,225000,0.0004,
ICICI Group,Embassy Office Parks REIT,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL EQUITY INCOME FUND,BSE,Bulk,Purchase,45280,316,5466517,0.0058,
ICICI Group,Apollo Tyres Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45279,448.35,3000000,0.0047,
ICICI Group,PVR INOX Ltd.,ICICI PRUDENTIAL LIFE INSURANCE (IPLCIL-U),NSE,Block,Purchase,45275,1753,114112,0.0012,
ICICI Group,PB Fintech Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45275,800.05,370000,0.0008,
ICICI Group,KFIN Technologies Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45275,500,1377842,0.0081,
ICICI Group,KFIN Technologies Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,45275,500,900000,0.0053,
ICICI Group,Fusion Micro Finance Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45274,555.6,500000,0.0049,
ICICI Group,Axis Bank Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Block,Purchase,45273,1119.7,715000,0.0002,
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCECOMPANY LTD.,NSE,Block,Purchase,45268,120.5,2480000,0.0003,
ICICI Group,360 One Wam Ltd.,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL VALUE DISCOVERY FUND,NSE,Bulk,Purchase,45264,600,3500000,0.0098,
ICICI Group,Computer Age Management Services Ltd.,ICICI BANK LIMITED,BSE,Block,Purchase,45264,2766,36500,0.0007,
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45259,112.7,2450000,0.0003,
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45259,112.7,2450000,0.0003,
ICICI Group,Transteel Seating Technologies Ltd.,ICICI BANK LIMITED,NSE,Bulk,Sell,45236,87.43,114000,0.0056,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45230,209,2406589,0.0074,
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45217,1080,223703,0.0073,
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45217,1080,220980,0.0072,
ICICI Group,Divgi Torqtransfer Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45217,1080,178963,0.0059,
ICICI Group,Restaurant Brands Asia Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Bulk,Purchase,45184,119.1,34000500,0.0685,
ICICI Group,Restaurant Brands Asia Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Block,Purchase,45184,119.1,34000500,0.0685,
ICICI Group,"Zomato Ltd.

52 week high",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,NSE,Block,Purchase,45166,90.1,4993954,0.0006,
ICICI Group,Star Health and Allied Insurance Company Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,45166,610.2,3900000,0.0067,
ICICI Group,Star Health and Allied Insurance Company Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,45166,610.2,3900000,0.0067,
ICICI Group,"One97 Communications Ltd.

Enters Partnership",ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45163,895.2,500000,0.0008,
ICICI Group,Coforge Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,45162,4703,427387,0.0069,
ICICI Group,SJS Enterprises Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,45160,599.93,1862274,0.06,
ICICI Group,CMS Info Systems Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45148,356,1405000,0.009,
ICICI Group,"Minda Corporation Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45146,280,4200000,0.0176,
ICICI Group,"Minda Corporation Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45146,280,1600000,0.0067,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,45146,208,5048076,0.0155,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45146,208,1923076,0.0059,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45146,208,865384,0.0027,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND(INNOVATION FUND),BSE,Block,Purchase,45146,208,817308,0.0025,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45146,208,600962,0.0018,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45146,208,480769,0.0015,
ICICI Group,"Inox Wind Ltd.

10-year high",ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,45146,208,144231,0.0004,
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,45338,1837,455000,0.0081,
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,45338,1837,455000,0.0081,
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,45338,1837,91000,0.0016,
Kotak Mahindra Group,"Bharat Petroleum Corporation Ltd.

Pilot Project",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,45336,584,2250000,0.001,
Kotak Mahindra Group,"Bharat Petroleum Corporation Ltd.

Pilot Project",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45336,584,171500,0.0001,
Kotak Mahindra Group,Onward Technologies Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,45281,620.75,159699,0.0071,
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,45280,445.35,210698,0.0003,
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,45280,445.35,14302,0,
Kotak Mahindra Group,Apollo Tyres Ltd.,KOTAK MAHINDRA ASSET MANAGEMENT (SINGAPORE) PTE LTD,BSE,Block,Purchase,45279,448.35,882000,0.0014,
Kotak Mahindra Group,PVR INOX Ltd.,KOTAK MAHINDRA MUTUAL FUND,NSE,Block,Purchase,45275,1753,379839,0.0039,
Kotak Mahindra Group,PVR INOX Ltd.,ALPS/KOTAK INDIA GROWTH FUND,NSE,Block,Purchase,45275,1753,172992,0.0018,
Kotak Mahindra Group,PVR INOX Ltd.,KOTAK FUNDS-INDIA ESG FUND,NSE,Block,Purchase,45275,1753,46164,0.0005,
Kotak Mahindra Group,Fusion Micro Finance Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,45274,555.6,712000,0.007,
Kotak Mahindra Group,Fusion Micro Finance Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,45274,555.6,712000,0.007,
Kotak Mahindra Group,Mankind Pharma Ltd.,KOTAK FUNDSINDIA MIDCAP FUND,BSE,Bulk,Purchase,45272,1832.3,2029246,0.0051,
Kotak Mahindra Group,Computer Age Management Services Ltd.,KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,45264,2766,488000,0.0099,
Kotak Mahindra Group,Computer Age Management Services Ltd.,KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,45264,2766,488000,0.0099,
Kotak Mahindra Group,Zomato Ltd.,KOTAK MAHINDRA MATUAL FUND,BSE,Block,Purchase,45259,112.7,12000000,0.0014,
Kotak Mahindra Group,"Minda Corporation Ltd.

10-year high",KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED A/C CLASSIC OPPORTUNITIES FUND,NSE,Bulk,Purchase,45232,330.94,1378340,0.0058,
Kotak Mahindra Group,PB Fintech Ltd.,KOTAK FUNDS-INDIA MIDCAP FUND,NSE,Block,Purchase,45205,762.8,1620795,0.0036,
Kotak Mahindra Group,PB Fintech Ltd.,KOTAK INFINITY FUND CLASS AC,NSE,Block,Purchase,45205,762.8,14904,0,
Kotak Mahindra Group,Voltamp Transformers Ltd.,KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,45195,4632,130000,0.0128,
Kotak Mahindra Group,Spandana Sphoorty Financial Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED - CLASSIC OPPORTUNITIES FUND ULIF 033 16 12 09 CLAOPPF,BSE,Bulk,Purchase,45168,765,924680,0.013,
Kotak Mahindra Group,Zomato Ltd.,KOTAK MAHINDRA MUTUAL FUND,NSE,Block,Purchase,45168,94.7,5240100,0.0006,
Kotak Mahindra Group,Zomato Ltd.,KOTAK FUNDS-INDIA MIDCAP FUND,NSE,Block,Purchase,45168,94.7,4596331,0.0005,
Kotak Mahindra Group,Zomato Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,45168,94.7,2620000,0.0003,
Kotak Mahindra Group,Zomato Ltd.,ALPS/KOTAK INDIA GROWTH FUND,NSE,Block,Purchase,45168,94.7,563945,0.0001,
Kotak Mahindra Group,Zomato Ltd.,KOTAK FUNDS-INDIA ESG FUND,NSE,Block,Purchase,45168,94.7,131670,0,
Kotak Mahindra Group,Zomato Ltd.,KOTAK INFINITY FUND CLASS AC,NSE,Block,Purchase,45168,94.7,39294,0,
Kotak Mahindra Group,Zomato Ltd.,KOTAK FUNDSINDIA MIDCAP FUND,BSE,Block,Purchase,45166,91,26112000,0.003,
Kotak Mahindra Group,Zomato Ltd.,KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,45166,91,14960000,0.0017,
Kotak Mahindra Group,Coforge Ltd.,KOTAK FUNDS - INDIA MIDCAP FUND,NSE,Bulk,Purchase,45162,4703,865328,0.014,
Kotak Mahindra Group,Sapphire Foods India Ltd.,KOTAK SECURITIES LIMITED - ERROR ACCOUNT,BSE,Bulk,Purchase,45162,1354.99,1599543,0.0251,
Kotak Mahindra Group,Sapphire Foods India Ltd.,KOTAK SECURITIES LIMITED - ERROR ACCOUNT,BSE,Bulk,Sell,45162,1355,1624834,0.0255,
Kotak Mahindra Group,Bikaji Foods International Ltd.,ALPS/KOTAK INDIA GROWTH FUND,BSE,Block,Purchase,45146,480,360698,0.0014,
Kotak Mahindra Group,Bikaji Foods International Ltd.,PUBLIC SECTOR PENSION INVESTMENT BOARD - KOTAK MAHINDRA ASSET MANAGEMENT (SINGAPORE) PTE LTD,BSE,Block,Purchase,45146,480,206511,0.0008,
Kotak Mahindra Group,Amara Raja Energy & Mobility Ltd.,KOTAK MAHINDRA MUTUAL FUND,NSE,Bulk,Purchase,45125,652,920245,0.005,
